Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent
2015,2015-12,18,,,15268,,8119.9,SAGD,181362,SUMR,Suncor,Athabasca,2.945702428,MackayRiver,181.4,534237.6,
2018,2018-07,18,,,16129,1453.6,5564,SAGD,181396,SUMR,Suncor,Athabasca,2.914190595,MackayRiver,181.4,528623.1,0.2
2018,2018-12,18,,,16707,1455.4,4586.7,SAGD,181446,SUMR,Suncor,Athabasca,2.98698732,MackayRiver,181.4,541977.2,20.3
2017,2017-12,12,,3.9,29563,178.2,,SAGD,181452,CNRLKB,CNRL,Athabasca,2.740989884,Kirby,850.9,497357,0.2
2017,2017-06,8,,26.1,52257,,,SAGD,181457,HSESR,Husky,Athabasca,3.980091096,Sunrise,897,722213.4,0.8
2016,2016-04,12,,23.9,28195,,,SAGD,181867,CNRLKB,CNRL,Athabasca,2.673242366,Kirby,842.8,486173.5,6
2017,2017-04,8,,6.5,56401,,,SAGD,181972,HSESR,Husky,Athabasca,4.327074844,Sunrise,125,787404.3,2.5
2018,2018-08,18,,0.1,17307,1432.7,5287.7,SAGD,183138,SUMR,Suncor,Athabasca,2.907206739,MackayRiver,183.1,532420.9,
2016,2016-08,12,,7.4,27138,,,SAGD,183314,CNRLKB,CNRL,Athabasca,2.50467641,Kirby,511.9,459141.5,
2019,2019-03,18,,,17665,1558.3,4316.1,SAGD,184555,SUMR,Suncor,Athabasca,2.942671197,MackayRiver,184.6,543083.8,0.2
2018,2018-05,18,,,13168,1323.6,8264.9,SAGD,184573,SUMR,Suncor,Athabasca,2.83492746,MackayRiver,184.6,523252.2,54.9
2018,2018-03,12,,21.7,28728,139.3,,SAGD,184938,CNRLKB,CNRL,Athabasca,2.6048651,Kirby,1144.4,481737.5,1.1
2016,2016-07,12,,6,28532,,,SAGD,186168,CNRLKB,CNRL,Athabasca,2.596721345,Kirby,729.3,483425.9,23.2
2016,2016-06,12,,9.7,27454,,,SAGD,186791,CNRLKB,CNRL,Athabasca,2.477091484,Kirby,552.3,462697.9,13.9
2017,2017-08,12,,5.2,29844,155.7,,SAGD,187211,CNRLKB,CNRL,Athabasca,2.725527639,Kirby,1173.7,510249.3,
2016,2016-11,12,,5.1,28544,,,SAGD,188047,CNRLKB,CNRL,Athabasca,2.571489954,Kirby,1135.4,483560.2,12.9
2016,2016-03,12,,28.2,31494,,,SAGD,189037,CNRLKB,CNRL,Athabasca,2.794330942,Kirby,769.8,528231.1,
2016,2016-09,12,,11.7,29165,,,SAGD,189042,CNRLKB,CNRL,Athabasca,2.601224489,Kirby,848.4,491741.2,11.1
2017,2017-01,12,,6.1,29505,,,SAGD,189567,CNRLKB,CNRL,Athabasca,2.639973962,Kirby,1287.6,500453,
2018,2018-02,7,,16.2,29806,,32762.9,SAGD,189933,CNOOCLK,Nexen,Athabasca,3.907102835,LongLake,1703.7,742086.2,0.5
2016,2016-12,12,,5.1,29721,,,SAGD,190635,CNRLKB,CNRL,Athabasca,2.615543235,Kirby,1001.8,498613.3,
2016,2016-05,12,,12.9,28304,,,SAGD,191093,CNRLKB,CNRL,Athabasca,2.513452372,Kirby,743.5,480302.4,6.1
