Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent,k_14
2015,2015-02,19,791,112.7,18698,246.1,NA,SAGD,65317,COGGD,Connacher Oil And Gas Limited,Athabasca,3.713352685,GreatDivide,1665.8,242545.8,NA,7
2015,2015-11,19,NA,112.1,19892,806.8,NA,SAGD,65641,COGGD,Connacher Oil And Gas Limited,Athabasca,4.166435105,GreatDivide,1589.7,273489.8,NA,7
2015,2015-06,16,NA,18.9,11493,NA,NA,SAGD,66380,PGFLB,Pengrowth,Cold Lake,2.005161232,Lindbergh,1955.1,133101.6,NA,11
2015,2015-11,16,NA,15.7,11301,NA,NA,SAGD,66572,PGFLB,Pengrowth,Cold Lake,1.992375196,Lindbergh,2173.9,132636.8,NA,11
2018,2018-09,20,NA,409.5,14825,NA,NA,SAGD,66585,OSUM,Osum,Cold Lake,3.325874252,Orion,1786.8,221455,NA,13
2015,2015-09,19,NA,246.8,19762,770.2,NA,SAGD,66623,COGGD,Connacher Oil And Gas Limited,Athabasca,4.022305977,GreatDivide,1198.6,267979.7,NA,7
2017,2017-06,16,NA,10.7,10754,NA,2938.7,SAGD,66643,PGFLB,Pengrowth,Cold Lake,2.685606805,Lindbergh,871.4,178977.7,NA,13
2017,2017-07,16,NA,9.5,11536,NA,2899,SAGD,66876,PGFLB,Pengrowth,Cold Lake,2.831825325,Lindbergh,869.1,189382,NA,13
2015,2015-10,16,NA,150.2,11568,NA,NA,SAGD,66986,PGFLB,Pengrowth,Cold Lake,2.111906799,Lindbergh,2358.7,141468.4,2.4,11
2017,2017-05,16,NA,NA,11239,NA,2974.7,SAGD,67345,PGFLB,Pengrowth,Cold Lake,2.812932014,Lindbergh,431.6,189435.5,NA,13
2018,2018-02,21,NA,NA,14921,155.2,NA,SAGD,67393,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.996311168,Hangingstone,252,201929.2,NA,13
2016,2016-09,16,NA,14.8,13101,NA,NA,SAGD,67747,PGFLB,Pengrowth,Cold Lake,2.517285713,Lindbergh,2281.9,170537.8,NA,11
2015,2015-11,8,NA,1,34680,NA,NA,SAGD,68003,HSESR,Husky,Athabasca,6.558065906,Sunrise,494.9,445967.5,NA,12
2015,2015-09,18,NA,2,6380,NA,2206.3,SAGD,68241,SUMR,Suncor,Athabasca,2.826334354,MackayRiver,68.2,192871.6,NA,13
2017,2017-11,16,NA,4.9,12508,NA,3107.7,SAGD,68499,PGFLB,Pengrowth,Cold Lake,3.092424707,Lindbergh,293.4,211828,1.1,13
2015,2015-12,19,NA,93.5,20834,828.6,NA,SAGD,68558,COGGD,Connacher Oil And Gas Limited,Athabasca,4.144004866,GreatDivide,1621.6,284105.1,NA,7
2016,2016-02,16,NA,2.9,12019,NA,NA,SAGD,68594,PGFLB,Pengrowth,Cold Lake,2.191076414,Lindbergh,2331.7,150293.6,NA,11
2017,2017-12,21,NA,NA,15252,178.7,NA,SAGD,68753,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.970584685,Hangingstone,295.9,204237.5,1.7,13
2015,2015-02,13,NA,9.1,15912,NA,27.8,SAGD,68783,AOCLM,Athabasca Oil Corporation,Athabasca,2.861935964,Leismer,750,196853.4,NA,13
2017,2017-02,16,NA,0.1,10309,NA,3116.7,SAGD,69015,PGFLB,Pengrowth,Cold Lake,2.509383467,Lindbergh,483.2,173185.1,NA,11
2019,2019-05,13,NA,NA,17249,NA,16.6,SAGD,69030,AOCLM,Athabasca Oil Corporation,Athabasca,3.985084681,Leismer,572.5,275089.2,NA,7
2017,2017-08,16,NA,0.2,11804,NA,3111.6,SAGD,69239,PGFLB,Pengrowth,Cold Lake,2.810860385,Lindbergh,819.4,194620.6,NA,13
2015,2015-10,19,NA,355.7,21374,835.9,NA,SAGD,69290,COGGD,Connacher Oil And Gas Limited,Athabasca,4.127236778,GreatDivide,1901.6,285978.3,NA,7
2018,2018-02,16,NA,1.9,12455,NA,3025.4,SAGD,69316,PGFLB,Pengrowth,Cold Lake,2.952198765,Lindbergh,225.5,204635.2,NA,13
2018,2018-01,16,NA,2.9,12200,NA,3273,SAGD,69444,PGFLB,Pengrowth,Cold Lake,2.886714638,Lindbergh,605.6,200465.3,NA,13
2015,2015-05,19,NA,138.1,19368,621.1,NA,SAGD,69520,COGGD,Connacher Oil And Gas Limited,Athabasca,3.966627062,GreatDivide,1543.4,275761.5,NA,7
2015,2015-08,19,NA,96,20536,790.5,NA,SAGD,69968,COGGD,Connacher Oil And Gas Limited,Athabasca,4.05882664,GreatDivide,1733.7,283989.2,NA,7
2015,2015-09,16,NA,128.5,11662,NA,NA,SAGD,70424,PGFLB,Pengrowth,Cold Lake,2.085884074,Lindbergh,2200.7,146896.3,NA,11
